,selected_start_value,selected_end_value,selected_returns,max_returns,ols_r_squared,data,indicator_name,indicator_params,_status
0,0.0,4.983984403952732,0.0019713447769200317,0.0057121509675757375,3.1782634796528875e-05,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 2},OK
1,-23.883318140382865,-23.841059602649008,0.04937675373889905,0.21357850070721351,0.14384938419012105,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 2},OK
2,0.0,4.962610047279384,-0.00021680518917015164,0.00544077831324789,0.04299758387542785,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 3},OK
3,-23.1972038263429,-22.112415071031506,0.09442105196832411,0.09442105196832411,0.029721148583367607,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 3},OK
4,1.1253578069464254,5.996099523009789,0.0025632146189076732,0.005016344743737594,0.06929383643755571,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 4},OK
5,-23.333333333333336,-20.75767765075095,0.07050724447049533,0.07050724447049533,0.17823134080672176,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 4},OK
6,1.9267482855799898,6.711561852157104,-0.010484530960543038,0.006552170875659872,3.546842219792623e-05,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 5},OK
7,-24.823321554770324,-22.402287893231644,0.05513185385495001,0.05944798301486198,0.11372163820721104,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 5},OK
8,2.874527209536467,6.838780205454327,-0.01083940223782942,0.006619912386832771,0.010242922949873057,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 6},OK
9,-28.091872791519428,-25.871080139372825,0.08086060410640694,0.08086060410640694,0.2577354133087181,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 6},OK
10,3.9459556981894934,8.509914736243388,-0.006200620846148364,0.009483497222594619,0.027139968725474195,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 7},OK
11,-29.094076655052266,-27.82018659881255,0.014501655806003655,0.06212424849699394,0.3174622368365396,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 7},OK
12,5.106042977319859,9.116020471706648,-0.006763622954433631,0.009076070539853305,0.0013888550620398954,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 8},OK
13,-30.95843935538591,-30.95843935538591,0.07248157248157239,0.07248157248157239,0.4032152146329092,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 8},OK
14,6.317871744809125,10.497055956856343,-0.021952031133299632,0.009216410376331214,0.004058940415455847,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 9},OK
15,-29.217391304347824,-25.187656380316923,0.003610433150349285,0.03158967665027248,0.3278855125062917,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 9},OK
16,7.549500767360527,7.549500767360527,0.051412020275162895,0.051412020275162895,0.19882681032965654,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 10},OK
17,-29.965156794425095,-26.678445229681973,0.03311638532074004,0.07571670553293186,0.12903703214280837,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 10},OK
18,8.77632201213197,8.77632201213197,0.051412020275162895,0.051412020275162895,0.09490074536237614,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 11},OK
19,-31.93979933110368,-28.365839803067605,0.09644317645548606,0.09644317645548606,0.22099913394376502,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 11},OK
20,9.980844251267456,9.980844251267456,0.051412020275162895,0.051412020275162895,0.07591076132912922,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 12},OK
21,-30.08695652173914,-25.9877573734001,0.048765455287365055,0.048765455287365055,0.283487532502563,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 12},OK
22,11.151471321072805,11.151471321072805,0.051412020275162895,0.051412020275162895,0.033434940162183624,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 13},OK
23,-32.27969348659004,-29.1705673094926,0.07937807979190042,0.07937807979190042,0.2728188320465851,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 13},OK
24,12.28109931668331,12.28109931668331,0.051412020275162895,0.051412020275162895,6.989109747601585e-05,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 14},OK
25,-33.061920090891874,-28.83275261324042,0.05307063245510942,0.09875583203732519,0.06117971963100621,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 14},OK
26,13.36587372811671,13.36587372811671,0.051412020275162895,0.051412020275162895,0.00018927030132576128,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 15},OK
27,-33.04924242424242,-28.086956521739133,0.02817653355850854,0.06078611575592796,0.22419586067929675,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 15},OK
28,14.404203255443619,14.404203255443619,0.051412020275162895,0.051412020275162895,0.0005884844783795584,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 16},OK
29,-33.813892529488854,-28.60335195530726,0.06517256815960694,0.06517256815960694,0.16243258001327798,"{'ticker': 'VALE3', 'timeframe': 'D1'}",roc,{'period': 16},OK
30,15.396022582996011,15.396022582996011,0.051412020275162895,0.051412020275162895,0.0011027046810468955,"{'ticker': 'VALE3', 'timeframe': 'D1'}",rsi,{'period': 17},OK
